GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0500000US01001,01001,"Autauga County, Alabama",54571,54571,54742,55255,55027,54792,54977,55035,55416
0500000US01003,01003,"Baldwin County, Alabama",182265,182265,183199,186653,190403,195147,199745,203690,208563
0500000US01005,01005,"Barbour County, Alabama",27457,27457,27348,27326,27132,26938,26763,26270,25965
0500000US01007,01007,"Bibb County, Alabama",22915,22919,22861,22736,22645,22501,22511,22561,22643
0500000US01009,01009,"Blount County, Alabama",57322,57324,57376,57707,57772,57746,57621,57676,57704
0500000US01011,01011,"Bullock County, Alabama",10914,10911,10892,10722,10654,10576,10712,10455,10362
0500000US01013,01013,"Butler County, Alabama",20947,20946,20938,20848,20665,20330,20283,20126,19998
0500000US01015,01015,"Calhoun County, Alabama",118572,118586,118468,117736,117208,116475,115837,115285,114611
0500000US01017,01017,"Chambers County, Alabama",34215,34170,34101,34006,34084,34123,33996,34043,33843
0500000US01019,01019,"Cherokee County, Alabama",25989,25986,25977,26073,26017,26074,25944,25726,25725
0500000US01021,01021,"Chilton County, Alabama",43643,43631,43675,43758,43693,43769,43874,43809,43941
0500000US01023,01023,"Choctaw County, Alabama",13859,13858,13840,13610,13549,13384,13310,13201,12993
0500000US01025,01025,"Clarke County, Alabama",25833,25833,25762,25549,25148,25105,24862,24726,24392
0500000US01027,01027,"Clay County, Alabama",13932,13932,13882,13676,13461,13464,13503,13495,13492
0500000US01029,01029,"Cleburne County, Alabama",14972,14972,14975,14976,14928,15031,15076,14996,14924
0500000US01031,01031,"Coffee County, Alabama",49948,49948,50183,50484,51180,50729,50757,51063,51226
