date_of_interest,project_count
2011-07-01 00:00:00,18203
2011-07-02 00:00:00,18117
2011-07-03 00:00:00,18026
2011-07-04 00:00:00,18090
2011-07-05 00:00:00,18136
2011-07-06 00:00:00,18073
2011-07-07 00:00:00,18127
2011-07-08 00:00:00,18150
2011-07-09 00:00:00,18033
2011-07-10 00:00:00,18178
2011-07-11 00:00:00,18244
2011-07-12 00:00:00,18302
2011-07-13 00:00:00,18353
2011-07-14 00:00:00,18317
2011-07-15 00:00:00,18327
2011-07-16 00:00:00,18225
2011-07-17 00:00:00,18317
2011-07-18 00:00:00,18354
2011-07-19 00:00:00,18458
2011-07-20 00:00:00,18416
2011-07-21 00:00:00,18327
2011-07-22 00:00:00,18306
2011-07-23 00:00:00,18162
2011-07-24 00:00:00,18122
2011-07-25 00:00:00,18397
2011-07-26 00:00:00,18729
2011-07-27 00:00:00,18833
2011-07-28 00:00:00,18857
2011-07-29 00:00:00,19088
2011-07-30 00:00:00,19371
2011-07-31 00:00:00,19511
2011-08-01 00:00:00,19665
2011-08-02 00:00:00,19703
2011-08-03 00:00:00,19669
2011-08-04 00:00:00,19598
2011-08-05 00:00:00,19700
2011-08-06 00:00:00,19602
2011-08-07 00:00:00,19737
2011-08-08 00:00:00,20017
2011-08-09 00:00:00,19958
2011-08-10 00:00:00,19913
2011-08-11 00:00:00,19867
2011-08-12 00:00:00,19831
2011-08-13 00:00:00,19976
2011-08-14 00:00:00,20123
2011-08-15 00:00:00,20182
2011-08-16 00:00:00,20155
2011-08-17 00:00:00,20176
2011-08-18 00:00:00,19974
2011-08-19 00:00:00,20167
2011-08-20 00:00:00,20368
2011-08-21 00:00:00,20994
2011-08-22 00:00:00,21149
2011-08-23 00:00:00,21301
2011-08-24 00:00:00,21446
2011-08-25 00:00:00,21429
2011-08-26 00:00:00,21413
2011-08-27 00:00:00,21832
2011-08-28 00:00:00,21967
2011-08-29 00:00:00,22036
2011-08-30 00:00:00,22129
2011-08-31 00:00:00,22224
2011-09-01 00:00:00,22118
2011-09-02 00:00:00,22195
2011-09-03 00:00:00,22285
2011-09-04 00:00:00,22604
2011-09-05 00:00:00,22525
2011-09-06 00:00:00,22503
2011-09-07 00:00:00,22438
2011-09-08 00:00:00,22233
2011-09-09 00:00:00,22285
2011-09-10 00:00:00,22188
2011-09-11 00:00:00,22558
2011-09-12 00:00:00,22879
2011-09-13 00:00:00,22550
2011-09-14 00:00:00,22501
2011-09-15 00:00:00,22381
2011-09-16 00:00:00,22247
2011-09-17 00:00:00,22457
2011-09-18 00:00:00,22857
2011-09-19 00:00:00,22832
2011-09-20 00:00:00,22770
2011-09-21 00:00:00,22743
2011-09-22 00:00:00,23033
2011-09-23 00:00:00,23180
2011-09-24 00:00:00,23487
2011-09-25 00:00:00,24326
2011-09-26 00:00:00,24561
2011-09-27 00:00:00,24665
2011-09-28 00:00:00,24704
2011-09-29 00:00:00,24813
2011-09-30 00:00:00,24800
2011-10-01 00:00:00,25384
2011-10-02 00:00:00,25664
2011-10-03 00:00:00,25836
2011-10-04 00:00:00,25091
2011-10-05 00:00:00,25042
2011-10-06 00:00:00,24930
2011-10-07 00:00:00,25048
2011-10-08 00:00:00,25075
2011-10-09 00:00:00,25544
2011-10-10 00:00:00,25638
2011-10-11 00:00:00,25571
2011-10-12 00:00:00,25493
2011-10-13 00:00:00,25411
2011-10-14 00:00:00,25457
2011-10-15 00:00:00,25572
2011-10-16 00:00:00,25825
2011-10-17 00:00:00,25713
2011-10-18 00:00:00,25550
2011-10-19 00:00:00,25536
2011-10-20 00:00:00,25535
2011-10-21 00:00:00,25384
2011-10-22 00:00:00,25667
2011-10-23 00:00:00,25752
2011-10-24 00:00:00,25891
2011-10-25 00:00:00,25682
2011-10-26 00:00:00,25289
2011-10-27 00:00:00,25217
2011-10-28 00:00:00,25069
2011-10-29 00:00:00,25284
2011-10-30 00:00:00,25413
2011-10-31 00:00:00,25335
2011-11-01 00:00:00,25374
2011-11-02 00:00:00,25251
2011-11-03 00:00:00,24916
2011-11-04 00:00:00,24777
2011-11-05 00:00:00,24886
2011-11-06 00:00:00,24946
2011-11-07 00:00:00,24931
2011-11-08 00:00:00,24874
2011-11-09 00:00:00,24702
2011-11-10 00:00:00,24773
2011-11-11 00:00:00,24933
2011-11-12 00:00:00,24898
2011-11-13 00:00:00,25149
2011-11-14 00:00:00,25118
2011-11-15 00:00:00,24750
2011-11-16 00:00:00,24681
2011-11-17 00:00:00,24546
2011-11-18 00:00:00,24878
2011-11-19 00:00:00,24695
2011-11-20 00:00:00,25270
2011-11-21 00:00:00,25475
2011-11-22 00:00:00,25129
2011-11-23 00:00:00,24936
2011-11-24 00:00:00,24842
2011-11-25 00:00:00,24998
2011-11-26 00:00:00,24955
2011-11-27 00:00:00,24973
2011-11-28 00:00:00,25312
2011-11-29 00:00:00,25062
2011-11-30 00:00:00,24746
2011-12-01 00:00:00,24496
2011-12-02 00:00:00,24099
2011-12-03 00:00:00,23879
2011-12-04 00:00:00,24014
2011-12-05 00:00:00,24499
2011-12-06 00:00:00,24420
2011-12-07 00:00:00,24180
2011-12-08 00:00:00,24899
2011-12-09 00:00:00,24554
2011-12-10 00:00:00,24454
2011-12-11 00:00:00,24684
2011-12-12 00:00:00,24364
2011-12-13 00:00:00,23910
2011-12-14 00:00:00,23521
2011-12-15 00:00:00,23014
2011-12-16 00:00:00,22117
2011-12-17 00:00:00,22330
2011-12-18 00:00:00,22520
2011-12-19 00:00:00,22598
2011-12-20 00:00:00,22500
2011-12-21 00:00:00,21927
2011-12-22 00:00:00,21596
2011-12-23 00:00:00,21307
2011-12-24 00:00:00,20974
2011-12-25 00:00:00,20727
2011-12-26 00:00:00,20672
2011-12-27 00:00:00,20716
2011-12-28 00:00:00,20568
2011-12-29 00:00:00,20426
2011-12-30 00:00:00,19992
2011-12-31 00:00:00,19391
2012-01-01 00:00:00,18816
2012-01-02 00:00:00,18890
2012-01-03 00:00:00,19103
2012-01-04 00:00:00,18957
2012-01-05 00:00:00,18714
2012-01-06 00:00:00,18950
2012-01-07 00:00:00,19173
2012-01-08 00:00:00,19743
2012-01-09 00:00:00,19831
2012-01-10 00:00:00,19759
2012-01-11 00:00:00,19661
2012-01-12 00:00:00,19479
2012-01-13 00:00:00,19638
2012-01-14 00:00:00,20122
2012-01-15 00:00:00,21033
2012-01-16 00:00:00,21158
2012-01-17 00:00:00,21164
2012-01-18 00:00:00,20707
2012-01-19 00:00:00,20640
2012-01-20 00:00:00,20972
2012-01-21 00:00:00,21599
2012-01-22 00:00:00,22073
2012-01-23 00:00:00,22097
2012-01-24 00:00:00,21739
2012-01-25 00:00:00,21163
2012-01-26 00:00:00,20812
2012-01-27 00:00:00,20531
2012-01-28 00:00:00,20784
2012-01-29 00:00:00,21484
2012-01-30 00:00:00,22336
2012-01-31 00:00:00,21837
2012-02-01 00:00:00,21483
2012-02-02 00:00:00,21370
2012-02-03 00:00:00,21346
2012-02-04 00:00:00,21347
2012-02-05 00:00:00,21990
2012-02-06 00:00:00,22207
2012-02-07 00:00:00,22411
2012-02-08 00:00:00,22058
2012-02-09 00:00:00,21938
2012-02-10 00:00:00,22276
2012-02-11 00:00:00,22663
2012-02-12 00:00:00,23526
2012-02-13 00:00:00,23925
2012-02-14 00:00:00,23790
2012-02-15 00:00:00,23565
2012-02-16 00:00:00,23447
2012-02-17 00:00:00,23412
2012-02-18 00:00:00,23726
2012-02-19 00:00:00,24377
2012-02-20 00:00:00,24453
2012-02-21 00:00:00,24326
2012-02-22 00:00:00,24179
2012-02-23 00:00:00,24044
2012-02-24 00:00:00,23897
2012-02-25 00:00:00,24053
2012-02-26 00:00:00,24285
2012-02-27 00:00:00,24349
2012-02-28 00:00:00,23974
2012-02-29 00:00:00,23835
2012-03-01 00:00:00,23605
2012-03-02 00:00:00,23383
2012-03-03 00:00:00,23182
2012-03-04 00:00:00,23655
2012-03-05 00:00:00,23554
2012-03-06 00:00:00,23400
2012-03-07 00:00:00,23541
2012-03-08 00:00:00,23728
2012-03-09 00:00:00,24099
2012-03-10 00:00:00,24448
2012-03-11 00:00:00,24685
2012-03-12 00:00:00,24716
2012-03-13 00:00:00,24335
2012-03-14 00:00:00,24077
2012-03-15 00:00:00,24162
2012-03-16 00:00:00,24283
2012-03-17 00:00:00,24201
2012-03-18 00:00:00,24236
2012-03-19 00:00:00,23997
2012-03-20 00:00:00,23294
2012-03-21 00:00:00,23035
2012-03-22 00:00:00,22767
2012-03-23 00:00:00,22717
2012-03-24 00:00:00,22613
2012-03-25 00:00:00,22762
2012-03-26 00:00:00,22713
2012-03-27 00:00:00,22107
2012-03-28 00:00:00,21922
2012-03-29 00:00:00,21811
2012-03-30 00:00:00,21720
2012-03-31 00:00:00,22089
2012-04-01 00:00:00,22400
2012-04-02 00:00:00,22380
2012-04-03 00:00:00,22238
2012-04-04 00:00:00,22337
2012-04-05 00:00:00,22227
2012-04-06 00:00:00,22203
2012-04-07 00:00:00,22272
2012-04-08 00:00:00,22368
2012-04-09 00:00:00,22398
2012-04-10 00:00:00,22354
2012-04-11 00:00:00,22207
2012-04-12 00:00:00,22233
2012-04-13 00:00:00,22092
2012-04-14 00:00:00,22151
2012-04-15 00:00:00,22169
2012-04-16 00:00:00,22036
2012-04-17 00:00:00,22024
2012-04-18 00:00:00,21877
2012-04-19 00:00:00,21778
2012-04-20 00:00:00,21691
2012-04-21 00:00:00,21807
2012-04-22 00:00:00,21891
2012-04-23 00:00:00,21839
2012-04-24 00:00:00,21714
2012-04-25 00:00:00,21556
2012-04-26 00:00:00,21246
2012-04-27 00:00:00,21126
2012-04-28 00:00:00,20948
2012-04-29 00:00:00,20878
2012-04-30 00:00:00,20789
2012-05-01 00:00:00,20718
2012-05-02 00:00:00,20558
2012-05-03 00:00:00,20526
2012-05-04 00:00:00,20386
2012-05-05 00:00:00,20306
2012-05-06 00:00:00,20400
2012-05-07 00:00:00,20280
2012-05-08 00:00:00,20133
2012-05-09 00:00:00,20112
2012-05-10 00:00:00,20501
2012-05-11 00:00:00,20357
2012-05-12 00:00:00,20178
2012-05-13 00:00:00,20247
2012-05-14 00:00:00,20128
2012-05-15 00:00:00,19858
2012-05-16 00:00:00,19653
2012-05-17 00:00:00,19488
2012-05-18 00:00:00,19295
2012-05-19 00:00:00,19386
2012-05-20 00:00:00,19511
2012-05-21 00:00:00,19566
2012-05-22 00:00:00,19431
2012-05-23 00:00:00,19301
2012-05-24 00:00:00,19144
2012-05-25 00:00:00,19060
2012-05-26 00:00:00,19136
2012-05-27 00:00:00,19239
2012-05-28 00:00:00,19399
2012-05-29 00:00:00,19351
2012-05-30 00:00:00,19298
2012-05-31 00:00:00,19226
2012-06-01 00:00:00,19112
2012-06-02 00:00:00,19073
2012-06-03 00:00:00,19254
2012-06-04 00:00:00,19134
2012-06-05 00:00:00,19046
2012-06-06 00:00:00,18904
